espn_id,name,position,school,mock_pick,mock_round,is_estimate,matched_from
4837248,Fernando Mendoza,QB,Indiana,1,1,,
4870808,Jeremiyah Love,RB,Notre Dame,9,1,,
4871023,Carnell Tate,WR,Ohio State,11,1,,
4870795,Makai Lemon,WR,USC,13,1,,
5083315,Kenyon Sadiq,TE,Oregon,15,1,,
4880281,Jordyn Tyson,WR,Arizona State,16,1,,
4832800,Denzel Boston,WR,Washington,21,1,,
4870653,KC Concepcion,WR,Texas A&M,24,1,,
4685522,Ty Simpson,QB,Alabama,34,2,,
4723820,Omar Cooper Jr.,WR,Indiana,35,2,,
4682648,Malachi Fields,WR,Notre Dame,48,2,,
4685512,Jadarian Price,RB,Notre Dame,49,2,,
4684627,Chris Bell,WR,Louisville,58,2,,
5091739,Chris Brazzell II,WR,Tennessee,60,2,,
4431574,Eli Stowers,TE,Vanderbilt,62,2,,
4870612,Zachariah Branch,WR,Georgia,63,2,,
4685261,Germie Bernard,WR,Alabama,64,2,,
4832955,Emmett Johnson,RB,Nebraska,65,3,,
5088338,Elijah Sarratt,WR,Indiana,67,3,,
4833029,Max Klare,TE,Ohio State,68,3,,
5081432,Antonio Williams,WR,Clemson,71,3,,
4594749,Michael Trigg,TE,Baylor,74,3,,
4567747,Garrett Nussmeier,QB,LSU,76,3,,
4870847,Ja'Kobi Lane,WR,USC,80,3,,
5220680,Ted Hurst,WR,Georgia State,83,3,,
4702555,Jonah Coleman,RB,Washington,84,3,,
4683151,Deion Burks,WR,Oklahoma,105,4,,
4686658,Mike Washington Jr.,RB,Arkansas,106,4,,
4683153,Skyler Bell,WR,UConn,107,4,,
4685555,Nicholas Singleton,RB,Penn State,108,4,,
4685553,Brenen Thompson,WR,Mississippi State,109,4,,
4430841,Carson Beck,QB,Miami,111,4,,
5085189,Jack Endries,TE,Texas,119,4,,
4605951,CJ Daniels,WR,Miami,122,4,,
4912052,Justin Joly,TE,NC State,124,4,,
4685246,Kaytron Allen,RB,Penn State,126,4,,
4710714,De'Zhaun Stribling,WR,Ole Miss,132,4,,
4879194,Josh Cameron,WR,Baylor,135,4,,
4832846,Demond Claiborne,RB,Wake Forest,136,4,,
4685307,Kevin Coleman Jr.,WR,,180,6,True,
4713118,J'Mari Taylor,RB,,180,6,True,
4685504,Sam Roush,TE,,180,6,True,
4691138,Aaron Anderson,WR,,180,6,True,
4602185,Eric McAlister,WR,,180,6,True,
4713277,Eric Rivers,WR,,180,6,True,
5159802,Dallen Bentley,TE,,180,6,True,
4432759,Sawyer Robertson,QB,,180,6,True,
4831959,Eli Raridon,TE,,180,6,True,
4869132,Reggie Virgil,WR,,180,6,True,
4686248,Nate Boerkircher,TE,,180,6,True,
4565859,Joe Royer,TE,,180,6,True,
4714771,Drew Allar,QB,,180,6,True,
4879276,Bryce Lance,WR,,180,6,True,
4702559,Oscar Delp,TE,,180,6,True,
4685413,Cade Klubnik,QB,,180,6,True,
4695705,Marlin Klein,TE,,180,6,True,
